,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
2014-03-01,1748344.34,1690809.62,1662097.39,1652972.34,1661201.43,1699700.35,1782363.44,1861415.10,1960040.15,2028574.56,2043061.62,2018374.35,2000785.87,1985885.28,1968682.76,1962328.30,1973810.43,2010283.09,2077494.24,2121534.35,2086123.07,2018181.37,1910665.59,1807988.03,
2014-03-02,1722692.18,1669885.39,1639863.68,1632902.72,1637479.04,1663186.33,1707681.32,1736490.04,1824377.29,1894924.18,1920603.91,1912871.05,1906075.50,1900741.06,1891574.65,1892456.83,1897474.23,1928764.08,2029911.61,2116971.82,2083090.57,2012364.49,1875185.39,1757993.19,
2014-03-03,1679851.28,1632957.86,1616954.55,1616086.15,1642579.14,1727309.84,1901568.10,2040676.98,2157014.56,2196685.12,2188717.93,2136972.52,2118364.02,2110066.00,2091774.54,2065584.80,2030228.65,2028257.53,2119053.22,2197071.08,2156077.24,2069485.69,1925180.22,1808236.14,
2014-03-04,1722002.98,1680044.26,1666563.43,1669223.76,1691884.78,1773169.46,1934953.13,2073331.45,2193721.55,2235652.70,2203563.38,2134574.09,2108728.95,2107888.12,2087639.32,2069347.85,2052696.69,2050698.00,2134960.04,2209449.17,2175278.46,2089968.82,1937475.62,1821772.10,
2014-03-05,1732409.95,1684992.74,1666136.13,1663448.23,1678748.55,1763975.48,1925635.10,2060581.18,2182804.56,2223688.12,2205948.02,2146607.58,2127654.48,2116916.69,2102608.82,2079189.68,2054254.29,2048520.11,2121782.47,2209752.42,2175581.71,2094972.44,1947841.24,1835652.66,
2014-03-06,1741452.30,1698956.01,1681202.12,1681877.54,1696929.75,1780957.46,1932609.84,2067638.62,2184775.68,2219070.46,2201785.23,2134753.28,2118956.73,2121506.78,2098501.17,2075178.51,2048092.81,2052103.97,2114821.51,2186030.03,2141535.04,2075178.51,1929687.61,1809145.89,
2014-03-07,1720555.65,1668396.71,1656156.46,1655356.98,1678652.06,1760488.11,1912857.26,2034184.68,2151831.75,2191061.22,2172852.46,2115731.26,2094434.86,2079947.80,2041738.35,2000151.80,1978703.78,1984548.23,2039739.66,2128536.66,2091898.59,2021503.33,1901774.87,1789696.56,
2014-03-08,1706247.78,1652889.63,1629098.32,1619573.52,1626948.00,1656928.36,1684524.08,1706316.70,1782721.82,1850525.68,1855749.84,1826045.16,1809201.03,1780185.55,1763851.42,1761260.02,1778269.57,1806320.16,1878038.69,1983762.54,1969303.04,1919873.35,1829449.83,1738213.05,
2014-03-09,1659781.67,1606547.57,1580095.94,1569895.72,1579530.79,1608959.79,1642854.83,1662483.35,1758365.36,1830318.23,1862876.21,1846073.42,1820807.22,1810772.41,1794369.36,1804197.41,1826058.95,1865123.01,1933340.39,2032820.05,2008863.33,1945249.83,1823949.99,1718653.45,
2014-03-10,1645818.40,1599421.21,1580316.48,1574651.23,1584437.92,1627389.09,1683958.93,1750232.76,1864571.65,1929315.44,1946476.62,1918260.62,1900727.28,1885675.07,1863923.80,1850305.13,1860091.83,1870154.20,1939212.41,2070726.26,2045473.83,1961859.64,1829684.16,1716130.96,
2014-03-11,1647031.40,1605830.80,1588573.14,1587318.79,1607126.51,1688948.77,1830704.18,1954085.43,2071167.35,2109431.94,2097370.87,2042937.56,2034101.97,2038168.28,2019766.54,1997946.35,1985554.47,1978910.54,2038885.05,2133471.36,2100072.55,2008753.06,1855612.00,1728192.03,
2014-03-12,1647913.58,1603418.59,1590089.39,1583721.15,1596374.93,1673427.90,1801040.86,1939667.28,2064040.98,2108177.59,2093594.04,2034984.15,2020042.22,2014625.08,2008987.39,1995906.31,1973603.67,1960026.36,2004493.78,2112726.33,2075619.60,1993452.74,1849216.19,1733939.98,
2014-03-13,1643337.27,1597711.98,1579696.20,1575588.55,1594238.40,1672242.47,1799304.06,1937944.28,2060401.99,2109790.32,2106730.26,2045322.21,2034363.87,2044757.06,2046535.21,2026438.03,1993190.84,1971660.12,2008118.99,2102360.71,2076887.74,1988683.45,1846886.68,1733347.27,
2014-03-14,1648850.90,1605968.64,1584768.74,1584686.03,1606189.19,1682938.91,1811737.30,1925304.28,2047486.31,2088300.95,2068934.33,2014197.77,2006478.69,2004052.69,1993921.40,1987622.08,1974692.62,1974403.15,2012171.51,2088728.26,2055412.15,1982618.46,1842834.17,1735911.11,
2014-03-15,1642551.58,1590902.65,1576456.94,1581226.23,1596099.25,1639298.53,1684689.49,1754423.12,1855680.92,1899114.54,1903525.44,1874192.93,1855777.41,1834935.89,1814535.46,1806375.29,1814659.52,1822337.25,1873696.71,2004562.70,1988159.66,1913436.19,1796836.71,1695689.18,
2014-03-16,1623860.37,1567524.86,1543347.60,1535917.98,1539736.17,1562962.33,1571150.07,1619725.15,1721837.57,1806678.54,1843206.34,1840063.57,1837389.46,1841607.38,1838009.74,1847217.50,1860698.33,1884324.23,1940328.92,2029442.96,1998787.18,1919501.18,1782073.97,1662938.22,
2014-03-17,1593342.43,1552114.27,1540825.11,1539708.60,1548971.50,1633702.20,1768152.06,1913119.16,2050380.96,2100224.17,2084468.98,2038195.84,2038030.43,2041972.68,2030008.10,1997160.66,1962700.47,1936951.82,1962052.62,2071112.21,2052875.88,1975878.05,1828512.51,1707378.07,
2014-03-18,1618608.64,1575946.93,1568007.30,1564685.34,1581887.87,1662056.04,1781302.06,1925579.96,2054281.86,2095165.42,2083931.40,2030214.86,2031372.73,2037244.74,2030931.64,2023336.61,2018677.59,2015769.16,2037520.42,2103973.44,2070064.62,1990172.13,1847796.43,1728343.65,
2014-03-19,1650697.96,1614514.77,1598911.20,1598828.49,1618043.49,1685792.21,1799758.94,1925469.69,2049981.23,2105861.86,2105820.51,2040566.70,2033150.87,2036073.10,2022261.45,2004907.31,1981419.24,1963375.89,1974775.32,2088107.97,2080829.98,2001268.31,1854991.72,1742113.94,
2014-03-20,1656749.17,1611440.92,1595079.23,1600179.33,1628863.99,1708025.93,1830676.61,1955808.43,2072035.74,2091595.34,2073758.75,2021117.38,2012970.99,2012157.73,1999393.68,1970681.45,1959006.34,1933202.55,1955394.91,2077935.33,2074048.22,1997918.78,1846073.42,1733305.92,
2014-03-21,1657438.38,1606189.19,1591095.63,1589717.22,1603363.45,1686343.58,1784954.84,1912236.98,2043089.19,2078114.52,2055232.96,2002660.50,1998594.20,1990296.19,1981763.85,1948902.61,1922643.95,1910320.99,1915917.33,2032640.86,2037699.62,1970102.52,1837003.50,1731348.58,
2014-03-22,1651607.71,1600441.23,1571853.06,1569330.58,1574913.13,1619683.80,1657714.06,1745546.17,1860629.41,1911754.54,1907646.88,1886970.77,1864020.29,1846542.08,1826872.21,1818077.97,1819759.63,1847355.34,1878865.74,1980867.88,1983004.41,1912030.22,1793569.89,1690906.11,
2014-03-23,1611234.16,1559736.86,1538564.52,1530873.01,1529136.22,1558468.73,1552720.77,1605017.54,1702994.74,1762734.91,1771074.28,1770853.73,1757455.61,1751583.60,1733168.08,1734780.81,1746442.14,1766415.26,1812853.81,1942451.67,1957131.71,1883290.42,1752121.18,1646755.72,
2014-03-24,1575050.97,1523636.37,1507936.31,1508253.35,1525938.31,1601378.55,1689899.87,1827354.65,1963803.20,2005706.78,1985954.20,1931327.92,1922382.06,1923553.70,1911602.91,1889369.20,1860243.45,1857059.33,1876660.28,1988642.10,1998208.25,1922092.59,1783976.17,1668865.37,
2014-03-25,1582590.85,1535656.08,1526848.06,1522340.67,1541803.78,1607374.62,1682346.20,1817926.35,1943485.47,1974982.08,1971246.60,1929384.37,1917805.74,1915627.86,1917474.93,1899955.37,1871050.17,1855294.97,1869809.60,1980302.73,1991522.97,1912181.84,1769985.34,1649498.75,
2014-03-26,1562217.99,1533423.06,1511726.93,1509948.79,1523884.48,1591164.55,1662207.66,1795968.32,1926407.01,1962328.30,1954857.33,1908804.74,1914745.68,1956414.93,1985540.68,1993893.83,1990282.40,1991619.46,1976718.87,2021544.68,2013232.89,1931217.65,1785051.33,1672504.37,
2014-03-27,1592281.06,1549578.00,1530597.33,1528681.34,1541941.62,1613425.83,1685034.09,1823260.78,1958248.22,1982783.87,1974554.77,1928970.84,1918660.36,1923939.66,1923856.95,1896192.32,1875295.66,1865881.14,1868155.51,1971467.14,2006092.74,1936235.05,1791378.22,1678720.98,
2014-03-28,1592046.73,1551259.66,1532375.47,1535600.95,1549219.61,1616141.29,1682415.12,1817057.95,1951232.12,1992019.20,1984176.06,1958000.10,1957352.25,1966697.85,1968117.61,1949619.39,1920217.96,1905482.78,1894951.75,1981777.63,2007484.93,1946462.83,1815555.48,1708274.04,
2014-03-29,1628271.28,1575560.98,1556470.04,1551686.96,1554044.04,1583514.39,1596898.72,1703380.69,1827313.30,1896178.53,1915035.14,1889727.59,1879320.61,1864530.30,1854936.58,1849119.70,1845315.30,1850677.30,1862090.52,1939515.66,1966463.52,1898122.09,1781246.93,1686440.07,
2014-03-30,1604852.13,1555436.23,1540342.67,1530294.08,1529163.79,1549026.64,1535394.19,1605196.74,1698735.46,1751404.41,1781936.13,1774492.73,1766746.08,1755195.03,1741121.49,1740060.11,1743671.54,1763892.78,1783300.75,1897253.69,1957669.28,1881663.90,1750081.13,1644867.30,
